kodetoko,namatoko
1YD7,SUKUR MINUT [SKMT]
1YD9,WINANGUN MANADO [WIMA]
1YI1,WATUDAMBO MINUT [WAUT]
1YI3,MANADO-TOMOHON KM. 7 [MAKM]
1YI9,MAPANGET MINUT [MTMT]
1YS2,KLEAK MANADO [KLEM]
1YS5,PANDU MANADO [PUDO]
1YS8,DC KAREGESAN [DCAN]
1YW1,MANEMBONEMBO MATUARI[MBOM]
1YW3,POLITEKNIK BUHA [POHA]
1YX1,MEGAMAS BOULEVARD [MEGS]
1YX6,ZERO POINT MINUT [ZEPO]
1YX9,BAHU MANADO [BAHM]
AB02,MODERNLAND [MRLN]
AB03,MODERNLAND 2 [MDL2]
AB18,RASUNA SAID [RSSD]
AB19,RASUNA SAID 2 [RSD2]
AB20,SLTN AGENG TIRTAYASA [SATA]
AB22,KUNCIRAN-AGUNG [KCAG]
AB50,MODERNLAND 3 [MDL3]
AB95,HASYIM ASHARI 3 [HAI3]
AD29,JL. PINUS RAYA [PSRY]
AD40,PANGLIMA POLIM 2 [PPM2]
AD41,PORIS INDAH 2 [PIH2]
AD43,PORIS INDAH [POIN]
AD44,MAULANA HASANUDIN 2 [MHI2]
AD45,PANGLIMA POLIM [PAPO]
AD46,PORIS INDAH 3 [POI3]
AD48,IRIGASI KP DONGKAL [IRDO]
AD49,BUANA INDAH PERMAI [BIPA]
AD50,TAMAN ROYAL 3 [TRO3]
AD51,SOLEH ALI 2 [SLA2]
AD52,KI SAMAUN [KISU]
AD54,CIPONDOH 2 TNHTINGGI [CP2T]
AD55,MAULANA YUSUF [MAYU]
AD56,SOLEH ALI [SOLA]
AD57,TMP TARUNA [TTNA]
AD59,RAYA VETERAN [RVAN]
AD60,TAMAN ROYAL [TMRO]
AD61,BENTENG BATAVIA/F [BEBA]
AD62,AGUS SALIM [AGSA]
AD63,DAAN MOGOT [DNMO]
AD73,SEGNEG 2 [SNE2]
AD77,PERUM SEGNEG [PSNG]
AD78,KEBON NANAS [KENA]
AD79,SPBU SUDIRMAN/F [SPSU]
AD80,JENDRAL SUDIRMAN [JESU]
AD83,RASUNA SAID 4 [RSID]
EI10,NOTRHLAND [NTLA]
