kodetoko,namatoko
J171,ALFAMART KRAMAT PULO GUNDUL [KPGL]
J178,ALFAMART RADEN SALEH [RSHJ]
J179,ALFAMART MARDANI 2 [MDI]
J182,ALFAMART PEGANGSAAN BARU [PGSJ]
J187,ALFAMART KRAMAT PULO [KRMJ]
J193,ALFAMART KRAMAT PULO 2 [KPO2]
J194,ALFAMART KRAMAT BUNDER [KTRJ]
J201,ALFAMART UTAN PANJANG [UTP]
J210,ALFAMART MUSI [MSI]
J213,ALFAMART MANGGA BESAR XIII [MGBJ]
J214,ALFAMART KARANG ANYAR [KGRJ]
J215,ALFAMART PEMBANGUNAN I [PGNI]
J216,ALFAMART KREKOT BUNDER [KTBR]
J233,ALFAMART PECENONGAN [PCNN]
J314,ALFAMART RW.MANGUN CPK PUTIH [RWMN]
J347,ALFAMART KEBON KACANG 2/F [KKC2]
J387,ALFAMART GUNUNG SAHARI [GSHI]
J410,ALFAMART KEMAYORAN KETAPANG [KNKG]
J428,ALFAMART RAJAWALI SLATAN [RJWS]
J431,ALFAMART CEMPAKA RAYA/F [CPRY]
J437,ALFAMART TMN KEBON SIRIH/F [TKSH]
J438,ALFAMART KEBON KOSONG RAYA [KBKR]
J446,ALFAMART SALEMBA TENGAH 2 [STGH]
J477,ALFAMART PANGKALAN ASEM 2
J520,ALFAMART HAYAM WURUK [HYMW]
J526,ALFAMART H. UNG [HUG]
J530,ALFAMART KRAMAT SENTIONG 2 [KSG2]
J532,ALFAMART BENHIL 2 [BHL2]
J534,ALFAMART PENJERNIHAN [PJHN]
J536,ALFAMART KEMBANG RAYA [KGRY]
J552,ALFAMART KRAMAT IV [KTIV]
J601,ALFAMART BUNGUR BESAR [BRBS]
J612,ALFAMART SENEN RAYA [SNYA]
J619,ALFAMART KEBON KACANG 9 [KKC9]
J630,ALFAMART LONTAR RAYA [LRRA]
J662,ALFAMART HARCO MANGGA DUA [HMDA]
J664,ALFAMART LAUTZE [LTZE]
J669,ALFAMART KH. WAHID HASYIM [KWSM]
J670,ALFAMART PEMBANGUNAN 2 [PMB2]
J674,ALFAMART SPBU PANGJAY/F [SPJA]
J676,ALFAMART STASIUN SENEN [SSEN]
J687,ALFAMART RUKO KENARI [RKEI]
J690,ALFAMART KS TUBUN 2 [KST2]
J701,ALFAMART KEBON JAHE [KEHE]
J724,ALFAMART UTAN PANJANG III [UPJ3]
J730,ALFAMART PRAMUKA 4 [PMK4]
J731,ALFAMART MENTENG SQUARE/F [MSQR]
J733,ALFAMART KAJI [KAJ]
J737,ALFAMART GEREJA AYAM [GEYA]
J757,ALFAMART MEDITERANIA MARINA [MEMA]
J758,ALFAMART KOMP. LODAN CENTER [LODC]
J761,ALFAMART PADEMANGAN-2 [PDA2]
J762,ALFAMART PADEMANGAN III [PDM3]
J763,ALFAMART BUDI MULIA AMPERA [BUMA]
J764,ALFAMART AMPERA RAYA [AMRA]
J765,ALFAMART PADEMANGAN 4 [PDM4]
J766,ALFAMART PADEMANGAN 7 [PDM7]
J767,ALFAMART PADEMANGAN 5 [PDM5]
J768,ALFAMART PADEMANGAN 6 [PDM6]
J769,ALFAMART AMPERA RAYA 2 [APR2]
J777,ALFAMART PADEMANGAN [PDMA]
J784,ALFAMART PERCETAKAN NEGARA 3 [PCE3]
J793,ALFAMART MARTAPURA [MPTA]
J813,ALFAMART PENJERNIHAN 2 [PJN2]
J816,ALFAMART STASIUN GAMBIR 2 [STGR]
J817,ALFAMART DWI WARNA 2 [DWRN]
J841,ALFAMART BENDUNGAN JT LUHUR [BJTL]
J847,ALFAMART KS.TUBUN 3 [KSN3]
J848,ALFAMART JUANDA 3 [JND3]
J869,ALFAMART APT GREEN PRAMUKA [AGPK]
J871,ALFAMART GUNUNG SAHARI 2 [GSR2]
J872,ALFAMART PANGERAN JAYAKARTA 3 [PJKT]
J874,ALFAMART BENDUNGAN HILIR 3 [BDH3]
J889,ALFAMART APT GREEN PRAMUKA 2 [AGP2]
J905,ALFAMART AWALUDIN [AWLD]
J910,ALFAMART ANGKE JAYA 3 [AJA3]
J913,ALFAMART DWI WARNA [DWWN]
J918,ALFAMART KALIBARU TIMUR 5 [KLT5]
J930,ALFAMART TANAH SEREAL [TNS]
J933,ALFAMART PEJAGALAN 3 [PJL3]
J937,ALFAMART ANGGREK III [AGK]
JB67,ALFAMART GP BOUGENVILLE [GPB]
JC42,ALFAMART GREEN PRAMUKA NERINE [GPNR]
JC82,ALFAMART TIMAH RAYA [TIMR]
JD42,ALFAMART PERCETAKAN NEGARA 57 [PN57]
K173,ALFAMART PANJANG [PJG]
K174,ALFAMART KEAMANAN [KMN]
K175,ALFAMART GG. BETET [BTT]
K178,ALFAMART JELAMBAR JAYA [KJLJ]
K179,ALFAMART JEMBATAN LIMA [JBLM]
K184,ALFAMART SAWAH LIO [KSWL]
K186,ALFAMART ANGGREK GARUDA [AGGD]
K189,ALFAMART DURI SELATAN [DUSE]
K194,ALFAMART KALI ANYAR [KLAY]
K196,ALFAMART KRENDANG RAYA [KAYA]
K198,ALFAMART TAWAKAL RAYA [TWRY]
K202,ALFAMART KRENDANG UTARA [KRUT]
K206,ALFAMART ANGKE JAYA [KAGJ]
K216,ALFAMART KERAJINAN [KRJN]
K223,ALFAMART KT BAMBU UTARA I [KBU1]
K224,ALFAMART KEMENANGAN III [KMN3]
K226,ALFAMART KOTA BAMBU II [KBU2]
K227,ALFAMART ANGKE SAMARASA [AKSA]
K231,ALFAMART PANJANG CIDODOL [PNDL]
K233,ALFAMART KEADILAN II [KDL2]
K238,ALFAMART MANGGA BESAR 8 [MGG8]
K247,ALFAMART TANJUNG DUREN [TGDN]
K249,ALFAMART JEMBATAN LIMA RAYA 3 [JLY3]
K258,ALFAMART JELAMBAR BARAT [JRBT]
K260,ALFAMART JELAMBAR UTAMA [KJRU]
K265,ALFAMART DR. SUSILO III [DRS3]
K268,ALFAMART DUTA MAS [DTMS]
K270,ALFAMART TAMAN HARAPAN INDAH/F [KTHI]
K271,ALFAMART PEJAGALAN 2 [PGL2]
K279,ALFAMART RAYA DURI UTARA [RADU]
K280,ALFAMART KEMANGGISAN [KMSN]
K281,ALFAMART KEMANGGISAN 4 [KMG4]
K284,ALFAMART ANGGREK GARUDA/F [AKGA]
K288,ALFAMART KEBON JERUK RAYA 2 [KJR2]
K289,ALFAMART KEDOYA DURI RAYA [DOYA]
K292,ALFAMART KEDOYA 3 [KDY3]
K293,ALFAMART KEDOYA RAYA [KDYA]
K294,ALFAMART KEBON JERUK IX [KJIX]
K316,ALFAMART SUKARJO WIRYO P [SWP]
K360,ALFAMART KEMANGGISAN II/F [KSN2]
K362,ALFAMART KEBON RAYA [KBRA]
K409,ALFAMART SULAIMAN [IMAN]
K451,ALFAMART JL. KOPI [JKPI]
K457,ALFAMART SASAK [SSAK]
K460,ALFAMART KEDOYA RAYA 2 [AYA2]
K466,ALFAMART JL. ASSIROT [ASRT]
K481,ALFAMART KEBON JERUK IX 2 [JIX2]
K504,ALFAMART KBN JERUK RAYA 3 [KJR3]
K505,ALFAMART JELAMBAR UTAMA 2 [JU2]
K508,ALFAMART KEDOYA DURI 2 [KOR2]
K509,ALFAMART RAWA KEPA 2 [RWK2]
K511,ALFAMART SYAHDAN [SYDN]
K525,ALFAMART KELAPA DUA KBN JERUK/F [KDKJ]
K563,ALFAMART H KELIK [HKLK]
K577,ALFAMART LAPANGAN BOLA [LPBA]
